ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.178827	0.016575	0.059778	0.014091	0.001708
Spoon	0.209639	0.051187	0.133816	0.057917	0.016581
Fork	0.234650	0.044131	0.147164	0.038579	0.003832
Knife	0.230793	0.067368	0.171790	0.077034	0.021157
Sports Ball	0.166149	0.063142	0.122220	0.080486	0.040358
Toothbrush	0.240051	0.072555	0.190233	0.080175	0.020408
Baseball Bat	0.254786	0.058761	0.179316	0.060467	0.005838
Wine Glass	0.231481	0.038555	0.131655	0.030935	0.004856
Traffic Light	0.214543	0.080917	0.177644	0.101370	0.035507
Book	0.228572	0.074257	0.168880	0.088888	0.034571
Kite	0.249598	0.117929	0.227866	0.153011	0.068564
Bird	0.265628	0.124440	0.270198	0.159618	0.049319
Car	0.257336	0.077401	0.203515	0.087160	0.021242
Bicycle	0.274324	0.059964	0.206026	0.050489	0.007940
Bottle	0.249758	0.067139	0.172252	0.073567	0.023927
Remote	0.251011	0.097860	0.202184	0.122573	0.055097
Handbag	0.288797	0.100374	0.245410	0.117801	0.034440
Boat	0.300937	0.111256	0.281212	0.129811	0.031916
Tie	0.309359	0.136791	0.287282	0.169951	0.072996
Snowboard	0.357929	0.137734	0.322943	0.163516	0.056719
Skateboard	0.342623	0.106030	0.282793	0.119202	0.028928
Cell Phone	0.312171	0.152039	0.291620	0.189396	0.097057
Backpack	0.340370	0.120097	0.296529	0.142373	0.041808
Bench	0.375395	0.147065	0.356624	0.172971	0.049993
Person	0.365757	0.142521	0.353970	0.167193	0.043494
Baseball Glove	0.305373	0.113155	0.270361	0.140201	0.037189
Chair	0.360307	0.132039	0.323193	0.153293	0.049596
Carrot	0.340597	0.116819	0.291583	0.138397	0.041081
Cup	0.339514	0.132399	0.305000	0.156166	0.061138
Motorcycle	0.382824	0.135283	0.376423	0.139652	0.026457
Scissors	0.395410	0.158039	0.376771	0.193579	0.049103
Banana	0.361830	0.147343	0.327373	0.176874	0.071226
Potted Plant	0.377075	0.116716	0.334858	0.122967	0.017785
Surfboard	0.427173	0.199868	0.435792	0.243531	0.100846
Sheep	0.342089	0.138208	0.332146	0.167080	0.044751
Apple	0.372457	0.169030	0.350741	0.203482	0.099976
Orange	0.379971	0.180092	0.356954	0.222296	0.113024
Umbrella	0.438390	0.234935	0.455308	0.298594	0.139688
Hair Drier	0.414310	0.173737	0.422222	0.185185	0.074074
Parking Meter	0.430426	0.230820	0.446579	0.288115	0.152461
Mouse	0.377206	0.181159	0.346737	0.231378	0.123929
Vase	0.410535	0.197688	0.400217	0.248261	0.111304
Donut	0.415235	0.191603	0.386293	0.243877	0.108047
Cow	0.431262	0.207639	0.454269	0.264559	0.081279
Tennis Racket	0.422205	0.173411	0.430417	0.211979	0.041398
Broccoli	0.441606	0.171397	0.422150	0.200858	0.058848
Truck	0.473547	0.223719	0.500780	0.284518	0.082021
Hot Dog	0.464508	0.239211	0.462231	0.298649	0.157079
Horse	0.486519	0.216798	0.536973	0.257739	0.056750
Zebra	0.461754	0.185695	0.494533	0.203937	0.036359
Bowl	0.470851	0.250758	0.470975	0.313253	0.160510
Clock	0.442005	0.258699	0.453429	0.337581	0.179101
Sink	0.505453	0.261424	0.534961	0.329265	0.136028
Giraffe	0.486365	0.195861	0.508489	0.219315	0.052046
Frisbee	0.487832	0.301549	0.513165	0.393337	0.221386
Airplane	0.549529	0.309015	0.625653	0.395507	0.159091
Suitcase	0.519022	0.262795	0.544370	0.328006	0.135973
Cake	0.535452	0.308333	0.571745	0.402972	0.196496
Dining Table	0.605607	0.372969	0.681969	0.471981	0.237425
Fire Hydrant	0.570111	0.355140	0.655015	0.473404	0.207447
Bus	0.601958	0.364141	0.679472	0.481139	0.225179
Teddy Bear	0.569366	0.305912	0.624374	0.384162	0.175449
Sandwich	0.578298	0.335028	0.634915	0.428153	0.212289
Keyboard	0.587603	0.344527	0.639717	0.434563	0.225872
Elephant	0.572657	0.307170	0.654381	0.392010	0.127835
Toaster	0.496529	0.236597	0.506410	0.307692	0.115385
Train	0.686886	0.438914	0.823623	0.600697	0.224509
Dog	0.635538	0.393803	0.746748	0.518981	0.228033
Oven	0.651566	0.378130	0.757168	0.468723	0.208949
Laptop	0.639077	0.400373	0.731672	0.509971	0.265103
Pizza	0.635056	0.433377	0.682774	0.541562	0.371808
Stop Sign	0.635144	0.498609	0.680029	0.618805	0.502915
Toilet	0.667059	0.410074	0.782624	0.523378	0.248779
Couch	0.690288	0.424198	0.826890	0.548748	0.235594
Microwave	0.650573	0.405800	0.733165	0.519360	0.271044
Bed	0.750869	0.522266	0.909811	0.686403	0.345267
Tv	0.703776	0.481431	0.817551	0.638820	0.339861
Cat	0.742941	0.515969	0.895726	0.694453	0.346772
Refrigerator	0.751700	0.529138	0.877137	0.681624	0.400641
Bear	0.769120	0.562066	0.912514	0.760797	0.415282
