ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.177563	0.013780	0.050598	0.010888	0.001494
Fork	0.287372	0.058206	0.194686	0.056719	0.004088
Spoon	0.284885	0.086153	0.219290	0.098552	0.024521
Knife	0.295935	0.097600	0.244304	0.113020	0.032731
Sports Ball	0.239730	0.111880	0.204311	0.149278	0.073378
Wine Glass	0.346226	0.093362	0.285791	0.086151	0.017266
Baseball Bat	0.298217	0.070362	0.232277	0.063386	0.007089
Toothbrush	0.301652	0.090578	0.256560	0.094023	0.016035
Traffic Light	0.287834	0.114680	0.253260	0.146192	0.043726
Book	0.337375	0.120520	0.280005	0.145221	0.045066
Car	0.373710	0.132991	0.354859	0.151507	0.022682
Kite	0.269344	0.121732	0.254128	0.155370	0.057556
Bird	0.323867	0.157485	0.342982	0.209498	0.050302
Bicycle	0.386121	0.095018	0.341409	0.066775	0.008347
Bottle	0.376844	0.130533	0.327242	0.154634	0.040533
Remote	0.347688	0.145168	0.300728	0.182039	0.078883
Handbag	0.375667	0.156626	0.362755	0.195005	0.048580
Boat	0.388397	0.141161	0.390774	0.153145	0.024004
Tie	0.389334	0.195457	0.402373	0.250784	0.097850
Snowboard	0.366220	0.133739	0.324476	0.151252	0.055187
Skateboard	0.395339	0.129585	0.339900	0.147382	0.035661
Cell Phone	0.410224	0.220951	0.419232	0.289823	0.124916
Backpack	0.435702	0.189875	0.439548	0.237934	0.057789
Bench	0.436295	0.159796	0.429907	0.178163	0.036790
Person	0.445275	0.177500	0.474109	0.199915	0.033498
Carrot	0.475615	0.221189	0.491693	0.282819	0.082344
Chair	0.462335	0.197162	0.471311	0.235767	0.066910
Baseball Glove	0.425369	0.204064	0.435478	0.270361	0.073261
Cup	0.463282	0.224956	0.470918	0.285220	0.105194
Banana	0.481237	0.230043	0.506035	0.289525	0.090001
Scissors	0.454448	0.179243	0.468366	0.204910	0.044381
Motorcycle	0.482472	0.163171	0.530141	0.144173	0.010047
Potted Plant	0.489135	0.181048	0.517615	0.190549	0.025407
Surfboard	0.448046	0.194372	0.463362	0.230955	0.068924
Sheep	0.482216	0.237760	0.537318	0.307990	0.067668
Apple	0.512102	0.296764	0.545519	0.386968	0.183721
Orange	0.523186	0.321553	0.557616	0.424283	0.220751
Umbrella	0.499904	0.260744	0.540436	0.333548	0.123823
Hair Drier	0.514986	0.228956	0.600000	0.266667	0.059259
Parking Meter	0.517205	0.303176	0.576230	0.405762	0.156062
Mouse	0.519033	0.301792	0.542518	0.404087	0.206328
Vase	0.520883	0.274249	0.559130	0.354783	0.126522
Donut	0.579708	0.345189	0.637991	0.467998	0.205804
Tennis Racket	0.551788	0.305530	0.640928	0.432179	0.074574
Broccoli	0.578518	0.284801	0.686759	0.351042	0.068860
Cow	0.529459	0.274968	0.608074	0.364416	0.073598
Hot Dog	0.579660	0.333167	0.646323	0.437219	0.181591
Truck	0.573498	0.283873	0.684405	0.355187	0.051937
Bowl	0.571022	0.321029	0.628995	0.412725	0.178134
Horse	0.550623	0.240053	0.658426	0.260963	0.038478
Zebra	0.554577	0.221283	0.686714	0.205850	0.012849
Clock	0.545225	0.336359	0.581325	0.452966	0.221733
Sink	0.577784	0.311744	0.645309	0.398932	0.147979
Giraffe	0.561201	0.210257	0.705260	0.162260	0.025327
Frisbee	0.553013	0.345855	0.580870	0.463192	0.259538
Airplane	0.563393	0.280731	0.672414	0.325496	0.090909
Suitcase	0.614901	0.351796	0.714456	0.461355	0.158158
Dining Table	0.613687	0.351279	0.701067	0.459966	0.178338
Cake	0.637191	0.393173	0.741406	0.530051	0.207141
Fire Hydrant	0.598593	0.359492	0.718085	0.489362	0.137538
Teddy Bear	0.639542	0.359007	0.771269	0.465705	0.138063
Bus	0.660947	0.390608	0.807452	0.531590	0.136080
Sandwich	0.665783	0.418519	0.790637	0.573797	0.210338
Keyboard	0.653166	0.399192	0.740778	0.529560	0.229409
Elephant	0.668501	0.406326	0.824227	0.561082	0.143041
Toaster	0.700828	0.442308	0.826923	0.596154	0.198718
Train	0.672133	0.390610	0.848005	0.525332	0.101647
Dog	0.666708	0.405507	0.826122	0.544200	0.158216
Oven	0.700946	0.433812	0.864031	0.574718	0.192876
Laptop	0.701446	0.459717	0.846041	0.626100	0.253372
Pizza	0.698157	0.472322	0.827742	0.649725	0.280170
Toilet	0.696083	0.438432	0.820656	0.572226	0.260642
Stop Sign	0.664514	0.495229	0.722303	0.649417	0.491983
Couch	0.696827	0.425569	0.848772	0.551422	0.210066
Microwave	0.751023	0.525099	0.908249	0.698653	0.341751
Bed	0.735042	0.487435	0.903959	0.645439	0.281928
Tv	0.764427	0.551404	0.917452	0.764254	0.353000
Cat	0.751131	0.515583	0.938163	0.715065	0.260988
Refrigerator	0.770526	0.548951	0.928953	0.743590	0.367521
Bear	0.782578	0.577972	0.940199	0.812846	0.394241
