ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.232275	0.012247	0.051452	0.008113	0.000427
Fork	0.296959	0.037859	0.150485	0.027849	0.001022
Spoon	0.311353	0.063500	0.204110	0.060719	0.008407
Knife	0.310810	0.066793	0.206872	0.067631	0.010669
Sports Ball	0.385039	0.184341	0.397845	0.236872	0.069938
Wine Glass	0.330969	0.061413	0.216367	0.046223	0.007194
Baseball Bat	0.342391	0.058458	0.220601	0.043369	0.003336
Toothbrush	0.360307	0.084614	0.280612	0.078717	0.006560
Traffic Light	0.368450	0.135631	0.346192	0.157151	0.037370
Book	0.370288	0.104833	0.298624	0.109642	0.020339
Car	0.391893	0.107711	0.337217	0.103852	0.010899
Kite	0.431292	0.181961	0.447240	0.217644	0.047020
Bird	0.407535	0.169658	0.432064	0.202051	0.030631
Bicycle	0.373959	0.067479	0.268119	0.043567	0.002443
Bottle	0.389711	0.102348	0.312184	0.099339	0.017916
Remote	0.420848	0.157039	0.405097	0.180825	0.040049
Handbag	0.390844	0.128324	0.364466	0.136846	0.022922
Boat	0.418382	0.126751	0.388628	0.126324	0.011935
Tie	0.404657	0.161218	0.397671	0.191446	0.044335
Snowboard	0.404891	0.117480	0.330097	0.128258	0.029126
Skateboard	0.394067	0.096033	0.299751	0.093766	0.012219
Cell Phone	0.438801	0.195523	0.451584	0.236351	0.067625
Backpack	0.441493	0.157238	0.423083	0.176594	0.028249
Bench	0.427007	0.125824	0.379469	0.125204	0.017653
Person	0.452026	0.151719	0.447738	0.155651	0.019501
Carrot	0.425094	0.147277	0.394924	0.168888	0.029943
Chair	0.435952	0.145115	0.406598	0.155751	0.029415
Baseball Glove	0.461756	0.194293	0.488286	0.240238	0.034585
Cup	0.436422	0.161101	0.416903	0.183968	0.043364
Banana	0.427122	0.155146	0.401430	0.180152	0.036209
Scissors	0.450718	0.143102	0.416431	0.150142	0.026440
Motorcycle	0.468986	0.140459	0.472873	0.117716	0.004354
Potted Plant	0.463218	0.138196	0.444783	0.127710	0.012873
Surfboard	0.475455	0.179312	0.481499	0.200000	0.040629
Sheep	0.505383	0.220065	0.554041	0.264943	0.042583
Apple	0.476498	0.217767	0.488591	0.270054	0.085392
Orange	0.470169	0.224844	0.483444	0.285430	0.096909
Umbrella	0.485238	0.204109	0.493744	0.245840	0.055978
Hair Drier	0.503542	0.189226	0.525926	0.200000	0.022222
Parking Meter	0.498374	0.239223	0.555822	0.298920	0.061224
Mouse	0.516273	0.250674	0.555702	0.300593	0.104812
Vase	0.515550	0.231087	0.544130	0.287609	0.075652
Donut	0.522533	0.253924	0.554229	0.328051	0.094670
Tennis Racket	0.517995	0.226686	0.566941	0.277745	0.037581
Broccoli	0.501001	0.190214	0.530445	0.208214	0.029628
Cow	0.554913	0.261960	0.633619	0.330832	0.049839
Hot Dog	0.529657	0.254354	0.566283	0.317159	0.091546
Truck	0.553620	0.236232	0.628494	0.274869	0.030084
Bowl	0.525827	0.242367	0.561585	0.298317	0.081948
Horse	0.554583	0.227996	0.654127	0.238392	0.022786
Zebra	0.554697	0.219245	0.665391	0.211864	0.014215
Clock	0.561305	0.304596	0.631603	0.404310	0.125579
Sink	0.528335	0.234404	0.555047	0.280956	0.079329
Giraffe	0.548955	0.197758	0.662677	0.158085	0.016977
Frisbee	0.597353	0.339456	0.688877	0.448684	0.150457
Airplane	0.586251	0.275387	0.692268	0.320794	0.065047
Suitcase	0.562039	0.267609	0.625000	0.330630	0.080391
Dining Table	0.562512	0.267470	0.628620	0.328073	0.078903
Cake	0.590675	0.315853	0.673098	0.415170	0.116877
Fire Hydrant	0.610340	0.340011	0.741641	0.452128	0.088906
Teddy Bear	0.594821	0.296438	0.686194	0.368855	0.092435
Bus	0.626275	0.333635	0.750289	0.441796	0.087248
Sandwich	0.616177	0.341264	0.724642	0.452211	0.118661
Keyboard	0.583898	0.295282	0.651339	0.375442	0.105609
Elephant	0.642372	0.359114	0.788660	0.487887	0.089948
Toaster	0.604391	0.306527	0.685897	0.391026	0.083333
Train	0.652764	0.359923	0.825839	0.474351	0.059531
Dog	0.651419	0.369356	0.804354	0.489514	0.105920
Oven	0.644493	0.342469	0.802780	0.416594	0.099044
Laptop	0.640362	0.355585	0.776540	0.462463	0.125513
Pizza	0.656434	0.399212	0.782674	0.543065	0.184527
Toilet	0.647482	0.363985	0.772156	0.465108	0.155618
Stop Sign	0.669576	0.452094	0.772595	0.633382	0.282070
Couch	0.641563	0.337997	0.778993	0.416727	0.111111
Microwave	0.663168	0.381772	0.803872	0.495791	0.153199
Bed	0.691055	0.412205	0.866093	0.552151	0.154561
Tv	0.692012	0.422477	0.868121	0.568171	0.156420
Cat	0.725063	0.472099	0.913610	0.668384	0.184601
Refrigerator	0.692025	0.418658	0.864850	0.546474	0.178419
Bear	0.758673	0.532669	0.935770	0.778516	0.259136
