ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.222993	0.021310	0.078779	0.017293	0.001494
Fork	0.309594	0.071445	0.226367	0.072816	0.006132
Spoon	0.323205	0.101991	0.262494	0.117936	0.034096
Knife	0.321660	0.109633	0.266908	0.127848	0.041953
Sports Ball	0.434203	0.254779	0.482229	0.345334	0.132768
Wine Glass	0.368843	0.112067	0.314928	0.110432	0.032014
Baseball Bat	0.366183	0.095155	0.301918	0.091743	0.010842
Toothbrush	0.371780	0.118937	0.310496	0.135569	0.031341
Traffic Light	0.414805	0.187068	0.425205	0.230795	0.066411
Book	0.377929	0.137668	0.323944	0.161350	0.056807
Car	0.422864	0.147699	0.390076	0.165778	0.037901
Kite	0.462635	0.215528	0.491744	0.265765	0.083661
Bird	0.442849	0.209294	0.471969	0.260363	0.079668
Bicycle	0.411011	0.109713	0.356881	0.094870	0.012011
Bottle	0.436070	0.177722	0.414559	0.214928	0.071841
Remote	0.407431	0.178508	0.386165	0.220388	0.084709
Handbag	0.420205	0.175930	0.418064	0.210970	0.061695
Boat	0.455761	0.171224	0.450852	0.195253	0.043851
Tie	0.420575	0.216606	0.431258	0.274966	0.121585
Snowboard	0.435789	0.178752	0.392948	0.218702	0.090445
Skateboard	0.429120	0.147291	0.363342	0.169576	0.059102
Cell Phone	0.457245	0.249811	0.477421	0.317232	0.156145
Backpack	0.467731	0.198078	0.468927	0.239548	0.068442
Bench	0.468133	0.179256	0.454680	0.203976	0.059338
Person	0.501251	0.219715	0.526965	0.263570	0.071900
Carrot	0.480877	0.217073	0.489319	0.268395	0.086544
Chair	0.487878	0.212543	0.492497	0.253677	0.089288
Baseball Glove	0.517552	0.260895	0.572332	0.332466	0.088881
Cup	0.516729	0.274808	0.548102	0.347258	0.153745
Banana	0.495310	0.232833	0.507674	0.283713	0.116972
Scissors	0.471285	0.195725	0.474976	0.222852	0.074599
Motorcycle	0.495209	0.178439	0.511721	0.185030	0.026624
Potted Plant	0.490488	0.179062	0.502033	0.190888	0.033537
Surfboard	0.517731	0.236715	0.537848	0.284885	0.103748
Sheep	0.573855	0.296039	0.648033	0.381852	0.111025
Apple	0.540613	0.314749	0.576570	0.399671	0.210774
Orange	0.554841	0.343488	0.589404	0.443709	0.257837
Umbrella	0.518934	0.251410	0.537598	0.304527	0.132465
Hair Drier	0.537986	0.253872	0.622222	0.281481	0.096296
Parking Meter	0.572527	0.358944	0.615846	0.457383	0.267707
Mouse	0.579716	0.357943	0.636124	0.466051	0.253790
Vase	0.578067	0.331838	0.630435	0.426957	0.200870
Donut	0.574778	0.338453	0.616382	0.432599	0.231529
Tennis Racket	0.587510	0.322292	0.693482	0.422783	0.110687
Broccoli	0.552369	0.251737	0.598488	0.305272	0.086841
Cow	0.616422	0.335867	0.717935	0.430690	0.140943
Hot Dog	0.584811	0.352995	0.624812	0.447724	0.262631
Truck	0.592033	0.291962	0.687527	0.357741	0.089258
Bowl	0.583943	0.339096	0.623618	0.421388	0.231903
Horse	0.592594	0.287071	0.702279	0.343078	0.080181
Zebra	0.597649	0.285004	0.710498	0.343904	0.065610
Clock	0.606501	0.385437	0.675626	0.507183	0.268072
Sink	0.563733	0.302221	0.592423	0.378591	0.187389
Giraffe	0.605755	0.287858	0.742833	0.320902	0.068466
Frisbee	0.646373	0.417713	0.738313	0.557765	0.275121
Airplane	0.616432	0.335114	0.718391	0.419018	0.149425
Suitcase	0.629846	0.369362	0.712071	0.464456	0.226145
Dining Table	0.622026	0.364215	0.685645	0.444454	0.240025
Cake	0.640811	0.408234	0.717232	0.529164	0.287647
Fire Hydrant	0.676012	0.447292	0.801672	0.601824	0.280395
Teddy Bear	0.654320	0.385019	0.761849	0.495437	0.217545
Bus	0.678181	0.416570	0.802823	0.548716	0.231428
Sandwich	0.667919	0.432734	0.745774	0.562419	0.317620
Keyboard	0.631588	0.381276	0.681657	0.480040	0.276908
Elephant	0.698510	0.448594	0.828866	0.608247	0.265464
Toaster	0.717823	0.458042	0.871795	0.608974	0.262821
Train	0.695998	0.429961	0.857505	0.569031	0.189994
Dog	0.695168	0.440621	0.833289	0.572073	0.264136
Oven	0.721978	0.475871	0.858384	0.603823	0.326238
Laptop	0.723483	0.493282	0.843402	0.634897	0.364809
Pizza	0.699123	0.486184	0.780170	0.618678	0.400601
Toilet	0.721322	0.488739	0.826588	0.628402	0.383112
Stop Sign	0.746548	0.570170	0.830175	0.728863	0.555394
Couch	0.708907	0.451186	0.841478	0.570873	0.297836
Microwave	0.754518	0.530609	0.885522	0.675084	0.400673
Bed	0.762716	0.541073	0.908434	0.698107	0.403787
Tv	0.786527	0.583044	0.931334	0.769707	0.458850
Cat	0.760078	0.537077	0.903607	0.722946	0.384056
Refrigerator	0.808939	0.618590	0.930021	0.794872	0.549679
Bear	0.800934	0.608980	0.937984	0.806202	0.523810
