ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.190840	0.016439	0.063621	0.011742	0.002348
Fork	0.292809	0.058972	0.196474	0.053143	0.004088
Spoon	0.293862	0.085453	0.223727	0.095283	0.027557
Knife	0.303645	0.097633	0.246293	0.113743	0.031826
Sports Ball	0.362876	0.223364	0.388443	0.303141	0.147902
Wine Glass	0.317256	0.077567	0.237590	0.075899	0.014748
Baseball Bat	0.323024	0.083479	0.264387	0.081735	0.010425
Toothbrush	0.315375	0.093626	0.255831	0.106414	0.021866
Traffic Light	0.328284	0.145823	0.322192	0.186521	0.054575
Book	0.325659	0.119679	0.274431	0.143857	0.049870
Car	0.341031	0.114918	0.307564	0.129513	0.025038
Kite	0.353442	0.188123	0.392672	0.243749	0.079887
Bird	0.359232	0.185778	0.397780	0.244064	0.070676
Bicycle	0.353196	0.087208	0.297028	0.070847	0.007329
Bottle	0.367485	0.124592	0.311767	0.143146	0.042557
Remote	0.409255	0.191527	0.406553	0.241019	0.094660
Handbag	0.379398	0.165770	0.370624	0.206865	0.064546
Boat	0.383512	0.144404	0.376827	0.168566	0.034062
Tie	0.407535	0.208912	0.417600	0.272279	0.111509
Snowboard	0.387296	0.152274	0.358712	0.180378	0.063873
Skateboard	0.406419	0.142575	0.364090	0.164838	0.042394
Cell Phone	0.441591	0.245583	0.475399	0.318805	0.136823
Backpack	0.416154	0.179103	0.406134	0.224213	0.067797
Bench	0.426800	0.165473	0.415814	0.190476	0.051179
Person	0.430336	0.172664	0.439708	0.200543	0.044638
Carrot	0.435414	0.200010	0.427059	0.257075	0.092204
Chair	0.437262	0.180705	0.427970	0.214581	0.068325
Baseball Glove	0.459049	0.235437	0.492748	0.313128	0.089996
Cup	0.456946	0.218090	0.461097	0.268276	0.111349
Banana	0.446484	0.210807	0.447325	0.267173	0.105498
Scissors	0.462971	0.187827	0.470255	0.220019	0.061379
Motorcycle	0.450370	0.158056	0.463831	0.160750	0.018419
Potted Plant	0.467245	0.176983	0.478997	0.196646	0.030996
Surfboard	0.463838	0.217830	0.480532	0.268682	0.095768
Sheep	0.473358	0.239590	0.508826	0.312790	0.096934
Apple	0.495047	0.280020	0.512585	0.360856	0.187485
Orange	0.490751	0.283825	0.500221	0.364238	0.210817
Umbrella	0.508958	0.277230	0.545982	0.353928	0.158261
Hair Drier	0.500943	0.223569	0.518519	0.296296	0.066667
Parking Meter	0.492697	0.274364	0.536615	0.354142	0.154862
Mouse	0.527913	0.317672	0.557680	0.411338	0.228082
Vase	0.524623	0.287846	0.552609	0.375435	0.168043
Donut	0.530969	0.301390	0.544556	0.389586	0.207656
Tennis Racket	0.554486	0.303475	0.634469	0.409865	0.109219
Broccoli	0.553215	0.277334	0.614834	0.351655	0.102370
Cow	0.529887	0.284485	0.592533	0.374955	0.119686
Hot Dog	0.541305	0.305244	0.576288	0.393697	0.186593
Truck	0.545723	0.262884	0.620973	0.330637	0.069391
Bowl	0.560470	0.311678	0.602111	0.396794	0.188589
Horse	0.545642	0.258638	0.629407	0.311694	0.068788
Zebra	0.556844	0.267533	0.637780	0.340350	0.062876
Clock	0.572503	0.372609	0.626969	0.498610	0.264829
Sink	0.568225	0.310427	0.618357	0.395372	0.176964
Giraffe	0.590457	0.286643	0.705539	0.338992	0.074589
Frisbee	0.621475	0.423428	0.698012	0.567437	0.324019
Airplane	0.591350	0.324261	0.702978	0.405956	0.138192
Suitcase	0.593552	0.340020	0.670563	0.433922	0.197042
Dining Table	0.604261	0.342598	0.673630	0.428943	0.202457
Cake	0.620427	0.383133	0.694167	0.503438	0.246840
Fire Hydrant	0.640739	0.418555	0.759878	0.577508	0.243921
Teddy Bear	0.649742	0.390532	0.754195	0.509862	0.225787
Bus	0.629082	0.360691	0.738718	0.467022	0.171257
Sandwich	0.645976	0.406756	0.740572	0.529584	0.265605
Keyboard	0.643266	0.402315	0.707428	0.523497	0.289540
Elephant	0.650499	0.399672	0.761598	0.538402	0.211598
Toaster	0.685713	0.432984	0.801282	0.602564	0.269231
Train	0.674761	0.401606	0.835655	0.540215	0.151045
Dog	0.691876	0.452060	0.832758	0.608707	0.263605
Oven	0.684994	0.413514	0.820156	0.531277	0.219809
Laptop	0.701868	0.465049	0.832845	0.613196	0.303226
Pizza	0.701426	0.487663	0.798698	0.642213	0.381572
Toilet	0.708520	0.463554	0.838451	0.588276	0.318911
Stop Sign	0.685041	0.514312	0.760933	0.674927	0.488338
Couch	0.704032	0.440687	0.844639	0.560418	0.258692
Microwave	0.718843	0.475819	0.851852	0.613636	0.313973
Bed	0.744565	0.506681	0.900516	0.665749	0.318417
Tv	0.753106	0.536125	0.896877	0.726574	0.368617
Cat	0.773984	0.557690	0.931798	0.759624	0.385571
Refrigerator	0.759143	0.534382	0.895833	0.694979	0.390491
Bear	0.807325	0.626397	0.932447	0.847176	0.559247
