ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.199289	0.019156	0.067037	0.016439	0.001494
Fork	0.295668	0.069076	0.211037	0.073071	0.007154
Spoon	0.296910	0.092140	0.230500	0.108127	0.034563
Knife	0.306210	0.105524	0.252622	0.127848	0.040868
Sports Ball	0.319672	0.174272	0.335703	0.235038	0.091951
Wine Glass	0.338151	0.089078	0.261331	0.087590	0.021583
Baseball Bat	0.322067	0.075442	0.240617	0.069224	0.009174
Toothbrush	0.343534	0.109860	0.282070	0.128280	0.035714
Traffic Light	0.356845	0.146232	0.345534	0.178082	0.048658
Book	0.339131	0.116838	0.275854	0.138342	0.048684
Car	0.383347	0.123410	0.336039	0.133211	0.031486
Kite	0.358773	0.171525	0.375059	0.215600	0.071395
Bird	0.382665	0.184207	0.409864	0.233525	0.070535
Bicycle	0.383760	0.091002	0.309243	0.075733	0.010993
Bottle	0.398020	0.147329	0.356586	0.174275	0.052794
Remote	0.373449	0.155936	0.338350	0.190291	0.078641
Handbag	0.389138	0.155755	0.372334	0.182917	0.056449
Boat	0.409289	0.149573	0.395333	0.169371	0.039158
Tie	0.406368	0.201767	0.412897	0.256382	0.109046
Snowboard	0.415283	0.174525	0.375575	0.220746	0.088401
Skateboard	0.403945	0.135321	0.336908	0.158105	0.046135
Cell Phone	0.423548	0.222871	0.430240	0.280386	0.138171
Backpack	0.438224	0.178135	0.420662	0.212752	0.065537
Bench	0.441961	0.164044	0.418039	0.187509	0.052960
Person	0.464692	0.190382	0.473949	0.222994	0.056676
Carrot	0.464130	0.204176	0.466679	0.250867	0.084353
Chair	0.452781	0.185386	0.439364	0.215735	0.075548
Baseball Glove	0.469139	0.221306	0.502045	0.281517	0.073261
Cup	0.472437	0.231382	0.487378	0.284045	0.122761
Banana	0.469784	0.219653	0.475935	0.272389	0.107436
Scissors	0.469642	0.200446	0.472144	0.237016	0.075543
Motorcycle	0.461701	0.145558	0.454956	0.134796	0.018587
Potted Plant	0.462654	0.156042	0.449356	0.164126	0.028963
Surfboard	0.494167	0.227086	0.514873	0.279323	0.094559
Sheep	0.535228	0.272192	0.601579	0.345153	0.102044
Apple	0.507409	0.283548	0.526229	0.365326	0.187721
Orange	0.521577	0.314469	0.553863	0.409492	0.228256
Umbrella	0.491747	0.231113	0.505611	0.279247	0.114794
Hair Drier	0.514187	0.206734	0.518519	0.244444	0.059259
Parking Meter	0.545421	0.315617	0.584634	0.393758	0.213685
Mouse	0.527987	0.303769	0.564272	0.384970	0.205010
Vase	0.539803	0.292411	0.574783	0.372609	0.171087
Donut	0.553361	0.320361	0.579749	0.413460	0.224120
Tennis Racket	0.553850	0.294000	0.640634	0.381092	0.096301
Broccoli	0.551376	0.256028	0.598692	0.313241	0.091541
Cow	0.582670	0.310777	0.669882	0.405681	0.122008
Hot Dog	0.558408	0.325481	0.601301	0.409705	0.224112
Truck	0.549778	0.244463	0.618561	0.281964	0.062012
Bowl	0.554614	0.311778	0.585084	0.383949	0.208603
Horse	0.567864	0.259869	0.650688	0.305030	0.068788
Zebra	0.566855	0.244272	0.647895	0.281028	0.044560
Clock	0.557498	0.341014	0.613531	0.443003	0.227525
Sink	0.566994	0.309572	0.609204	0.389525	0.183829
Giraffe	0.586422	0.268527	0.688839	0.302254	0.068188
Frisbee	0.575897	0.359240	0.645352	0.477163	0.238044
Airplane	0.587284	0.305904	0.669018	0.375914	0.135580
Suitcase	0.604343	0.341104	0.672471	0.434876	0.200382
Dining Table	0.610220	0.354222	0.666726	0.443020	0.230790
Cake	0.620426	0.382850	0.698603	0.489466	0.253271
Fire Hydrant	0.635796	0.394584	0.757599	0.531155	0.206687
Teddy Bear	0.629859	0.355099	0.717103	0.449220	0.199293
Bus	0.630431	0.346700	0.743578	0.442722	0.141634
Sandwich	0.647572	0.406401	0.721066	0.531860	0.283485
Keyboard	0.633890	0.388442	0.698838	0.495200	0.283477
Elephant	0.680985	0.421579	0.810309	0.557990	0.232474
Toaster	0.696663	0.433566	0.858974	0.551282	0.250000
Train	0.652859	0.363608	0.802407	0.457568	0.132679
Dog	0.678217	0.421073	0.805415	0.551633	0.247412
Oven	0.695556	0.437485	0.824066	0.559948	0.273675
Laptop	0.699759	0.462063	0.817595	0.592669	0.320821
Pizza	0.685513	0.469796	0.771908	0.597146	0.376565
Toilet	0.709529	0.464601	0.820656	0.590021	0.340893
Stop Sign	0.705294	0.526703	0.791545	0.675656	0.505831
Couch	0.699461	0.436598	0.828592	0.544858	0.283491
Microwave	0.716753	0.476584	0.829966	0.611111	0.343434
Bed	0.760143	0.537068	0.904303	0.695009	0.405852
Tv	0.754255	0.536508	0.895141	0.707238	0.397620
Cat	0.758902	0.533412	0.910882	0.721128	0.377993
Refrigerator	0.783045	0.574009	0.918803	0.737714	0.459402
Bear	0.789499	0.590959	0.914729	0.797342	0.488372
