ClassId	abo	average_recall	rec_at_0.5	rec_at_0.7	rec_at_0.85
Skis	0.254921	0.017565	0.076217	0.010034	0.000427
Fork	0.334658	0.064756	0.227133	0.056464	0.003577
Spoon	0.331911	0.080867	0.237973	0.084073	0.015647
Knife	0.332073	0.084284	0.243219	0.089873	0.019711
Sports Ball	0.347171	0.163453	0.352213	0.208438	0.073607
Wine Glass	0.328356	0.046223	0.167446	0.039568	0.005036
Baseball Bat	0.363696	0.076882	0.273561	0.056297	0.006255
Toothbrush	0.352403	0.084416	0.269679	0.080175	0.008746
Traffic Light	0.325217	0.106281	0.274521	0.120000	0.032000
Book	0.378724	0.111173	0.308883	0.117410	0.030064
Car	0.349436	0.070884	0.237718	0.061696	0.010572
Kite	0.404396	0.177301	0.415002	0.215914	0.058814
Bird	0.356765	0.137073	0.350429	0.158775	0.034706
Bicycle	0.357174	0.051988	0.219463	0.030945	0.004275
Bottle	0.367097	0.084908	0.261592	0.082614	0.016606
Remote	0.412058	0.159444	0.392961	0.189563	0.052670
Handbag	0.381434	0.125017	0.340176	0.137986	0.030790
Boat	0.378364	0.089922	0.294623	0.082607	0.012606
Tie	0.420512	0.194642	0.426556	0.249888	0.081953
Snowboard	0.418432	0.132624	0.355135	0.147164	0.033214
Skateboard	0.415157	0.115983	0.341895	0.123441	0.021696
Cell Phone	0.417211	0.181001	0.417434	0.213435	0.079982
Backpack	0.417324	0.137178	0.372236	0.150767	0.033898
Bench	0.416359	0.117180	0.343718	0.117342	0.029521
Person	0.407926	0.112463	0.338718	0.111937	0.020607
Carrot	0.437862	0.165817	0.414278	0.194632	0.046376
Chair	0.435734	0.141944	0.383364	0.156644	0.039617
Baseball Glove	0.447861	0.182832	0.463741	0.220900	0.036073
Cup	0.437183	0.151280	0.399474	0.165433	0.048274
Banana	0.439588	0.158586	0.396662	0.186112	0.053643
Scissors	0.449997	0.149455	0.418319	0.153919	0.030217
Motorcycle	0.414567	0.087788	0.323007	0.064468	0.007033
Potted Plant	0.454789	0.127079	0.410400	0.117717	0.013550
Surfboard	0.466806	0.178850	0.452963	0.204353	0.059734
Sheep	0.437101	0.148667	0.408176	0.161505	0.030814
Apple	0.468964	0.213148	0.468125	0.263938	0.100212
Orange	0.470978	0.224082	0.462252	0.286755	0.117439
Umbrella	0.490522	0.221744	0.498001	0.270476	0.103057
Hair Drier	0.504108	0.187205	0.540741	0.200000	0.014815
Parking Meter	0.444778	0.170468	0.439376	0.190876	0.054022
Mouse	0.505342	0.239468	0.530653	0.305867	0.101516
Vase	0.505992	0.224466	0.513043	0.273913	0.095652
Donut	0.497830	0.210687	0.481581	0.257460	0.088290
Tennis Racket	0.513927	0.213287	0.570757	0.236641	0.037874
Broccoli	0.524801	0.207025	0.533919	0.233347	0.057417
Cow	0.491512	0.201988	0.507681	0.237228	0.056091
Hot Dog	0.502208	0.205194	0.483242	0.242621	0.086543
Truck	0.481808	0.149722	0.461615	0.142330	0.021853
Bowl	0.521606	0.227685	0.531714	0.265658	0.101464
Horse	0.504589	0.179200	0.521281	0.186801	0.025150
Zebra	0.519614	0.188901	0.530618	0.208857	0.031165
Clock	0.569615	0.326439	0.634384	0.418906	0.190686
Sink	0.556654	0.265100	0.583270	0.331299	0.124587
Giraffe	0.536423	0.195152	0.576677	0.195658	0.030337
Frisbee	0.558376	0.325143	0.630306	0.428264	0.181085
Airplane	0.570032	0.263323	0.625914	0.311129	0.113636
Suitcase	0.540726	0.238441	0.574666	0.279342	0.088740
Dining Table	0.586435	0.309521	0.620909	0.367883	0.182731
Cake	0.558213	0.262021	0.597915	0.316478	0.114438
Fire Hydrant	0.562835	0.290412	0.637538	0.372340	0.112462
Teddy Bear	0.575229	0.271496	0.617898	0.330586	0.117751
Bus	0.511390	0.175233	0.525110	0.175654	0.032168
Sandwich	0.568288	0.262797	0.620611	0.302991	0.117035
Keyboard	0.655473	0.394644	0.754421	0.511875	0.232946
Elephant	0.554214	0.237535	0.609536	0.273196	0.059794
Toaster	0.549227	0.237179	0.583333	0.288462	0.051282
Train	0.558417	0.222379	0.612096	0.236542	0.052248
Dog	0.617384	0.321693	0.722856	0.401646	0.129281
Oven	0.601656	0.285443	0.671590	0.327976	0.121633
Laptop	0.604163	0.302773	0.686510	0.366276	0.135484
Pizza	0.661549	0.410525	0.743115	0.528042	0.268653
Toilet	0.618096	0.314185	0.682135	0.379623	0.164341
Stop Sign	0.670167	0.474556	0.732507	0.616618	0.427114
Couch	0.645834	0.347899	0.753708	0.425966	0.168004
Microwave	0.642722	0.349403	0.736532	0.430976	0.189394
Bed	0.677552	0.394555	0.811704	0.490189	0.200344
Tv	0.678547	0.409519	0.816311	0.530739	0.206247
Cat	0.689046	0.412742	0.846923	0.529251	0.204911
Refrigerator	0.701165	0.432498	0.838675	0.544872	0.254274
Bear	0.692273	0.430082	0.847176	0.570321	0.219269
