X	F
0.000000	0.000000
0.012486	2.497203
0.022755	5.241115
0.033288	7.947393
0.044321	10.524379
0.055762	12.923400
0.068327	15.286292
0.081501	17.569233
0.095517	19.762021
0.110372	21.811634
0.126232	23.802037
0.143600	25.786418
0.161877	27.672785
0.180800	29.479033
0.201519	31.277755
0.223580	32.981807
0.247048	34.653411
0.272342	36.283366
0.299766	37.890240
0.327598	39.424523
0.357414	40.919834
0.389943	42.395408
0.423299	43.823312
0.458720	45.194516
0.496560	46.534776
0.536066	47.824022
0.578785	49.126648
0.623210	50.365716
0.669069	51.562466
0.719149	52.765071
0.771338	53.927533
0.825264	55.048347
0.883733	56.155445
0.944750	57.250836
1.008750	58.303240
1.076823	59.371033
1.148876	60.349006
1.222723	61.329154
1.300354	62.293078
1.381250	63.213346
1.465530	64.143817
1.555183	65.037826
1.648938	65.905575
1.748169	66.776836
1.852060	67.623844
1.960227	68.442418
2.071951	69.269857
2.189329	70.060833
2.311152	70.860339
2.440997	71.635760
2.574219	72.384753
2.714677	73.130067
2.860802	73.855978
3.011728	74.564829
3.177464	75.263645
3.348261	75.965136
3.529358	76.641873
3.716386	77.304226
3.911777	77.951357
4.127327	78.607187
4.346983	79.259336
4.577799	79.901450
4.813151	80.518308
5.060872	81.131318
5.326771	81.742991
5.609265	82.340948
5.904813	82.943922
6.218652	83.530004
6.551432	84.108057
6.900476	84.676911
7.274194	85.242754
7.676432	85.806255
8.077474	86.365241
8.500868	86.916699
8.958943	87.465314
9.452210	88.007741
9.971680	88.544982
10.514385	89.073526
11.114114	89.598223
11.753581	90.122920
12.468530	90.639254
13.233426	91.160438
14.048649	91.670249
14.928647	92.180394
15.876267	92.686358
16.931818	93.190482
18.065067	93.690926
19.344788	94.188861
20.801991	94.683116
22.421333	95.176201
24.233073	95.668282
26.272269	96.156683
28.675130	96.642576
31.558500	97.125457
35.063170	97.609510
39.387748	98.090050
45.527711	98.568917
54.823258	99.045276
60	99.120129
