X	F
0.000000	0.000000
0.013361	2.737836
0.024400	5.617951
0.035861	8.509349
0.047771	11.180389
0.060378	13.762857
0.074071	16.226740
0.088509	18.572602
0.103752	20.811952
0.120136	22.959909
0.137838	25.040393
0.156785	27.067509
0.176711	28.980778
0.197754	30.850382
0.220666	32.658380
0.245093	34.412220
0.270952	36.105018
0.299209	37.780666
0.328511	39.379477
0.359593	40.942858
0.393407	42.459640
0.428467	43.938963
0.465385	45.332309
0.504950	46.734681
0.546329	48.065744
0.590426	49.382929
0.636637	50.634334
0.686109	51.882354
0.738825	53.120783
0.793269	54.293883
0.851408	55.440130
0.912309	56.578591
0.976214	57.683880
1.044523	58.767731
1.117114	59.822359
1.191732	60.831517
1.270508	61.827247
1.353433	62.801653
1.439710	63.762857
1.529933	64.700254
1.625761	65.609443
1.726262	66.508817
1.832187	67.393522
1.942933	68.240654
2.056865	69.082822
2.177058	69.906599
2.303334	70.730827
2.434234	71.515451
2.572453	72.287890
2.715993	73.050512
2.867374	73.793389
3.023467	74.518552
3.190308	75.228821
3.365923	75.942813
3.552400	76.634803
3.740560	77.300843
3.940984	77.959548
4.158854	78.618817
4.379459	79.264886
4.613814	79.910503
4.854400	80.527461
5.104658	81.137198
5.368081	81.743549
5.647413	82.335459
5.944502	82.933349
6.254883	83.515329
6.575521	84.080047
6.917442	84.637317
7.284636	85.191316
7.678938	85.742155
8.080147	86.287465
8.498975	86.825329
8.942515	87.355520
9.412012	87.873977
9.913680	88.389726
10.422686	88.898705
10.988364	89.399448
11.607395	89.898723
12.261333	90.391793
12.956359	90.877755
13.703194	91.369922
14.513235	91.854304
15.348445	92.330111
16.290252	92.805015
17.297852	93.274503
18.408000	93.743766
19.603190	94.206485
20.991291	94.667398
22.470052	95.125039
24.138672	95.581100
25.981045	96.031182
28.147461	96.481376
30.656835	96.928298
33.625668	97.372625
37.192057	97.816050
41.603840	98.254623
48.041424	98.691954
57.358421	99.127255
76.147135	99.560637
99.687744	100.000000
