X	F
0.000095	0.000000
0.000097	0.000000
0.000098	0.000000
0.000099	0.000000
0.000101	0.000000
0.000102	0.000000
0.000104	0.000000
0.000105	0.000000
0.000107	0.000000
0.000108	0.000000
0.000110	0.000000
0.000111	0.000000
0.000113	0.000000
0.000114	0.000000
0.000116	0.000000
0.000117	0.000000
0.000119	0.000000
0.000121	0.000000
0.000122	0.000000
0.000124	0.000000
0.000126	0.000000
0.000128	0.000000
0.000129	0.000000
0.000131	0.000000
0.000133	0.000000
0.000135	0.000000
0.000137	0.000000
0.000139	0.000000
0.000141	0.000000
0.000143	0.000000
0.000145	0.000000
0.000147	0.000000
0.000149	0.000000
0.000151	0.000000
0.000153	0.000000
0.000155	0.000000
0.000157	0.000000
0.000159	0.000000
0.000162	0.000000
0.000164	0.000000
0.000166	0.000000
0.000168	0.000000
0.000171	0.000000
0.000173	0.000000
0.000176	0.000000
0.000178	0.000000
0.000181	0.000000
0.000183	0.000000
0.000186	0.000000
0.000188	0.000000
0.000191	0.000000
0.000194	0.000000
0.000196	0.000000
0.000199	0.000000
0.000202	0.000000
0.000205	0.000000
0.000207	0.000000
0.000210	0.000000
0.000213	0.000000
0.000216	0.000000
0.000219	0.000000
0.000222	0.000000
0.000225	0.000000
0.000229	0.000000
0.000232	0.000000
0.000235	0.000000
0.000238	0.000000
0.000242	0.000000
0.000245	0.001056
0.000248	0.001185
0.000252	0.001289
0.000255	0.001391
0.000259	0.001495
0.000263	0.001591
0.000266	0.003048
0.000270	0.003149
0.000274	0.003284
0.000278	0.003430
0.000281	0.003545
0.000285	0.003686
0.000289	0.003831
0.000293	0.004007
0.000298	0.004163
0.000302	0.004349
0.000306	0.005057
0.000310	0.005312
0.000315	0.005598
0.000319	0.005908
0.000323	0.026403
0.000328	0.027795
0.000333	0.028204
0.000337	0.028577
0.000342	0.029305
0.000347	0.029733
0.000351	0.030083
0.000356	0.030524
0.000361	0.031192
0.000366	0.052047
0.000372	0.052702
0.000377	0.053071
0.000382	0.053340
0.000387	0.053641
0.000393	0.053992
0.000398	0.054353
0.000404	0.054576
0.000409	0.055012
0.000415	0.055230
0.000421	0.055390
0.000427	0.055543
0.000433	0.056886
0.000439	0.057010
0.000445	0.057135
0.000451	0.057262
0.000458	0.057347
0.000464	0.057456
0.000470	0.057542
0.000477	0.057621
0.000484	0.057705
0.000490	0.059749
0.000497	0.060153
0.000504	0.060443
0.000511	0.060692
0.000518	0.060977
0.000526	0.061266
0.000533	0.067783
0.000540	0.068080
0.000548	0.068437
0.000556	0.068782
0.000563	0.069142
0.000571	0.069451
0.000579	0.069911
0.000587	0.070242
0.000596	0.071024
0.000604	0.072985
0.000612	0.074289
0.000621	0.074837
0.000630	0.075429
0.000638	0.075973
0.000647	0.114118
0.000656	0.116939
0.000665	0.117602
0.000675	0.118389
0.000684	0.119731
0.000694	0.120567
0.000703	0.121274
0.000713	0.122175
0.000723	0.123478
0.000733	0.163352
0.000744	0.164769
0.000754	0.165595
0.000765	0.166349
0.000775	0.166918
0.000786	0.167766
0.000797	0.170123
0.000808	0.170821
0.000819	0.171644
0.000831	0.172219
0.000843	0.172686
0.000854	0.173117
0.000866	0.175844
0.000878	0.176264
0.000891	0.176686
0.000903	0.177142
0.000916	0.178136
0.000928	0.178608
0.000941	0.179083
0.000955	0.179648
0.000968	0.180782
0.000981	0.207474
0.000995	0.208544
0.001009	0.209243
0.001023	0.210402
0.001037	0.211232
0.001052	0.212064
0.001067	0.222142
0.001082	0.223276
0.001097	0.247071
0.001112	0.249629
0.001128	0.250560
0.001143	0.251319
0.001159	0.252165
0.001175	0.253038
0.001192	0.254744
0.001209	0.258244
0.001225	0.261239
0.001243	0.262228
0.001260	0.263123
0.001278	0.264073
0.001295	0.300120
0.001314	0.303270
0.001332	0.305666
0.001350	0.306769
0.001369	0.308266
0.001388	0.309343
0.001408	0.310361
0.001428	0.311510
0.001448	0.314041
0.001468	0.350981
0.001488	0.352286
0.001509	0.353592
0.001530	0.355228
0.001552	0.356218
0.001573	0.357520
0.001595	0.365458
0.001617	0.389369
0.001640	0.391982
0.001663	0.393210
0.001686	0.394262
0.001710	0.396798
0.001734	0.400314
0.001758	0.401453
0.001782	0.402867
0.001807	0.406535
0.001833	0.432072
0.001858	0.435136
0.001884	0.436307
0.001911	0.437560
0.001937	0.439557
0.001964	0.475201
0.001992	0.476903
0.002020	0.478306
0.002048	0.480390
0.002076	0.481806
0.002105	0.483216
0.002135	0.493910
0.002165	0.497229
0.002195	0.531261
0.002226	0.535473
0.002257	0.537291
0.002288	0.562493
0.002320	0.564074
0.002353	0.565889
0.002385	0.568627
0.002419	0.574395
0.002453	0.578300
0.002487	0.580272
0.002522	0.582211
0.002557	0.606438
0.002593	0.640678
0.002629	0.643793
0.002666	0.652032
0.002703	0.654863
0.002741	0.657908
0.002779	0.659714
0.002818	0.661699
0.002857	0.663898
0.002897	0.667257
0.002937	0.727419
0.002979	0.730233
0.003020	0.735466
0.003062	0.738714
0.003105	0.740960
0.003149	0.742882
0.003193	0.754845
0.003237	0.783599
0.003282	0.809638
0.003328	0.816483
0.003375	0.819225
0.003422	0.822806
0.003470	0.828544
0.003518	0.831040
0.003567	0.857752
0.003617	0.865498
0.003668	0.897010
0.003719	0.906535
0.003771	0.909347
0.003824	0.911738
0.003877	0.914777
0.003931	0.947775
0.003986	0.953727
0.004042	0.981059
0.004098	0.984408
0.004156	0.988445
0.004214	1.016845
0.004273	1.029336
0.004332	1.034218
0.004393	1.066931
0.004454	1.070719
0.004517	1.075974
0.004580	1.104648
0.004644	1.108682
0.004708	1.112819
0.004774	1.152019
0.004841	1.156568
0.004909	1.186037
0.004977	1.189483
0.005047	1.194310
0.005117	1.223581
0.005189	1.255661
0.005261	1.260035
0.005335	1.271888
0.005409	1.278541
0.005485	1.307936
0.005562	1.336750
0.005639	1.344079
0.005718	1.347861
0.005798	1.353750
0.005879	1.415348
0.005961	1.420225
0.006045	1.427737
0.006129	1.435628
0.006215	1.485369
0.006301	1.490837
0.006390	1.504438
0.006479	1.533059
0.006569	1.563165
0.006661	1.573595
0.006754	1.578317
0.006849	1.606462
0.006944	1.641693
0.007041	1.649127
0.007140	1.676105
0.007239	1.686343
0.007341	1.717327
0.007443	1.750388
0.007547	1.757557
0.007653	1.782345
0.007760	1.818186
0.007868	1.825208
0.007978	1.841073
0.008089	1.886983
0.008203	1.895042
0.008317	1.902527
0.008433	1.953544
0.008551	1.968774
0.008671	1.975551
0.008792	2.027040
0.008915	2.033166
0.009039	2.049552
0.009166	2.099026
0.009294	2.106822
0.009424	2.133515
0.009555	2.172858
0.009689	2.179213
0.009824	2.221421
0.009961	2.237672
0.010101	2.269979
0.010242	2.299718
0.010385	2.328840
0.010530	2.339611
0.010677	2.390368
0.010826	2.401661
0.010978	2.430526
0.011131	2.461823
0.011287	2.485559
0.011444	2.522073
0.011604	2.531804
0.011766	2.583327
0.011931	2.593355
0.012097	2.640577
0.012266	2.655630
0.012438	2.699460
0.012612	2.730192
0.012788	2.762759
0.012967	2.790263
0.013148	2.819781
0.013332	2.851830
0.013518	2.878870
0.013707	2.906191
0.013898	2.941137
0.014092	2.967627
0.014289	3.011979
0.014489	3.028792
0.014691	3.072216
0.014897	3.104876
0.015105	3.132352
0.015316	3.172033
0.015530	3.207195
0.015747	3.234183
0.015967	3.267345
0.016190	3.308375
0.016416	3.333214
0.016646	3.365646
0.016878	3.409095
0.017114	3.435447
0.017353	3.468605
0.017596	3.513740
0.017842	3.549353
0.018091	3.572770
0.018344	3.613360
0.018600	3.658139
0.018860	3.686540
0.019124	3.731331
0.019391	3.756112
0.019662	3.797107
0.019937	3.829182
0.020215	3.871416
0.020498	3.912626
0.020784	3.954057
0.021075	3.982867
0.021369	4.024304
0.021668	4.064145
0.021970	4.094091
0.022277	4.137576
0.022589	4.174259
0.022904	4.215081
0.023224	4.244501
0.023549	4.286308
0.023878	4.329658
0.024212	4.366189
0.024550	4.408089
0.024893	4.458749
0.025241	4.496982
0.025594	4.537270
0.025951	4.574820
0.026314	4.616029
0.026682	4.655565
0.027054	4.696346
0.027432	4.732282
0.027816	4.782419
0.028204	4.823246
0.028599	4.858752
0.028998	4.898916
0.029403	4.939682
0.029814	4.993149
0.030231	5.032452
0.030653	5.070661
0.031082	5.119166
0.031516	5.157721
0.031956	5.197889
0.032403	5.250853
0.032856	5.290876
0.033315	5.335338
0.033780	5.374557
0.034252	5.419845
0.034731	5.466607
0.035216	5.505790
0.035708	5.558062
0.036207	5.604927
0.036713	5.648447
0.037226	5.694830
0.037746	5.734869
0.038274	5.785461
0.038809	5.833503
0.039351	5.875144
0.039901	5.921069
0.040458	5.970990
0.041024	6.009968
0.041597	6.059741
0.042178	6.109729
0.042768	6.155430
0.043365	6.205672
0.043971	6.257533
0.044586	6.295266
0.045209	6.344585
0.045840	6.393679
