X	F
0.003200	0.000000
0.027273	1.397206
0.047059	2.509267
0.066904	3.706872
0.090667	4.904477
0.114973	6.016538
0.139733	7.100086
0.165867	8.183633
0.196954	9.210151
0.235200	10.208155
0.268800	11.348731
0.300592	12.346735
0.365867	13.430282
0.409600	14.542344
0.435200	15.540348
0.467868	16.652409
0.508800	17.735957
0.547801	18.790989
0.595733	19.817508
0.646400	20.844026
0.714667	21.870545
0.792793	22.982606
0.860267	23.980610
0.927928	25.007129
1.014414	26.005133
1.100629	27.003137
1.195122	27.972626
1.265465	28.942116
1.386667	29.997149
1.463063	30.995153
1.557867	32.021671
1.681600	33.048189
1.806400	34.103222
1.901604	35.101226
2.013298	36.127745
2.135467	37.097234
2.277867	38.066724
2.378667	39.064728
2.522680	40.062732
2.617600	41.060736
2.743976	42.030225
2.933867	42.999715
3.105067	44.026233
3.275733	45.024237
3.418133	45.993727
3.709867	46.991731
3.952553	48.018249
4.118447	49.016253
4.366400	50.014257
4.650667	51.012261
4.846277	52.010265
5.114286	53.008269
5.389333	54.006273
5.670933	54.975763
6.026667	55.945252
6.393976	56.914742
6.693093	57.884232
7.021867	58.882236
7.352000	59.851725
7.657647	60.821215
8.146381	61.790704
8.439403	62.760194
8.973867	63.758198
9.230769	64.727687
9.589189	65.725691
9.997598	66.723695
10.464533	67.693185
11.024540	68.691189
11.673600	69.660679
12.086933	70.658683
12.536000	71.628172
12.992000	72.626176
13.594400	73.624180
14.136095	74.593670
14.814933	75.563159
15.522252	76.532649
16.154177	77.502139
16.919467	78.500143
17.715315	79.469632
18.421867	80.439122
19.534400	81.408611
20.623423	82.406615
21.566400	83.404619
22.222400	84.402623
23.139733	85.372113
24.270871	86.341603
25.235733	87.311092
26.866133	88.309096
28.586186	89.278586
30.124267	90.248075
31.655325	91.217565
32.972656	92.187054
35.271905	93.185058
38.243243	94.154548
41.642133	95.124038
45.086444	96.093527
48.459281	97.063017
56.647590	98.061021
60	98.430510
