X	F
0.000532	0.000000
0.093093	1.224470
0.147366	2.513385
0.199401	3.861789
0.247447	5.294468
0.297297	6.652786
0.349333	8.130081
0.404775	9.572675
0.461000	10.985524
0.524800	12.229824
0.588785	13.518739
0.649842	14.792782
0.718933	16.126314
0.782933	17.291295
0.854400	18.421574
0.935467	19.601428
1.019733	20.721793
1.102013	21.837200
1.195770	23.012096
1.289067	24.177077
1.392000	25.297442
1.494294	26.373191
1.598933	27.463811
1.706306	28.489986
1.829333	29.516161
1.950933	30.577037
2.077333	31.652786
2.216817	32.659131
2.370000	33.635733
2.518919	34.686694
2.680533	35.683125
2.841067	36.679556
2.988800	37.715645
3.145600	38.721991
3.309642	39.708507
3.490667	40.670236
3.666133	41.631965
3.839467	42.618481
4.038933	43.565338
4.269136	44.527067
4.500833	45.508626
4.730650	46.450525
4.974775	47.402340
5.225600	48.378941
5.496697	49.350585
5.755733	50.312314
6.026667	51.264128
6.351351	52.215943
6.658667	53.138013
6.984000	54.069998
7.345775	55.026770
7.663664	55.968669
8.009434	56.895697
8.376533	57.837597
8.738133	58.799326
9.109910	59.731311
9.539200	60.658338
9.982933	61.600238
10.376533	62.557010
10.779753	63.469165
11.234133	64.416022
11.696000	65.362879
12.194667	66.279992
12.718400	67.211977
13.299200	68.134047
13.808721	69.051160
14.355733	69.993060
14.935395	70.900258
15.516267	71.827285
16.147733	72.729526
16.767879	73.651596
17.518563	74.568709
18.371200	75.490779
19.046933	76.412849
19.849911	77.320048
20.733218	78.242118
21.575467	79.154273
22.478933	80.076343
23.501379	80.988499
24.464000	81.905612
25.602133	82.812810
26.929600	83.724965
28.015616	84.627206
29.308709	85.534404
30.475200	86.431687
31.965766	87.348800
33.483200	88.251041
34.885886	89.158239
36.746667	90.070395
38.598880	90.982550
40.652267	91.879833
43.107508	92.777117
45.478933	93.699187
48.101198	94.611342
51.224000	95.513583
54.989333	96.410867
60	97.308150
