X	F
0.000095	0.000000
0.000097	0.000000
0.000098	0.000000
0.000099	0.000000
0.000101	0.000000
0.000102	0.000000
0.000104	0.000000
0.000105	0.000000
0.000107	0.000000
0.000108	0.000000
0.000110	0.000000
0.000111	0.000000
0.000113	0.000000
0.000114	0.000000
0.000116	0.000000
0.000117	0.000000
0.000119	0.000000
0.000121	0.000000
0.000122	0.000000
0.000124	0.000000
0.000126	0.000000
0.000128	0.000000
0.000129	0.000000
0.000131	0.000000
0.000133	0.000000
0.000135	0.000000
0.000137	0.000000
0.000139	0.000000
0.000141	0.000000
0.000143	0.000000
0.000145	0.000000
0.000147	0.000000
0.000149	0.000000
0.000151	0.000000
0.000153	0.000000
0.000155	0.000000
0.000157	0.000000
0.000159	0.000000
0.000162	0.000000
0.000164	0.000000
0.000166	0.000000
0.000168	0.000000
0.000171	0.000000
0.000173	0.000000
0.000176	0.000000
0.000178	0.000000
0.000181	0.000000
0.000183	0.000000
0.000186	0.000000
0.000188	0.000000
0.000191	0.000000
0.000194	0.000000
0.000196	0.000000
0.000199	0.000000
0.000202	0.000000
0.000205	0.000000
0.000207	0.000000
0.000210	0.000000
0.000213	0.000000
0.000216	0.000000
0.000219	0.000000
0.000222	0.000000
0.000225	0.000000
0.000229	0.000000
0.000232	0.000000
0.000235	0.000000
0.000238	0.000000
0.000242	0.000000
0.000245	0.000000
0.000248	0.000000
0.000252	0.000000
0.000255	0.000000
0.000259	0.000000
0.000263	0.000000
0.000266	0.000000
0.000270	0.000000
0.000274	0.000000
0.000278	0.000000
0.000281	0.000000
0.000285	0.000000
0.000289	0.000000
0.000293	0.000000
0.000298	0.000000
0.000302	0.000000
0.000306	0.000000
0.000310	0.000000
0.000315	0.000000
0.000319	0.000000
0.000323	0.000000
0.000328	0.000000
0.000333	0.000000
0.000337	0.000000
0.000342	0.000000
0.000347	0.000000
0.000351	0.000000
0.000356	0.000000
0.000361	0.000000
0.000366	0.000000
0.000372	0.000000
0.000377	0.000000
0.000382	0.000000
0.000387	0.000000
0.000393	0.000000
0.000398	0.000000
0.000404	0.000000
0.000409	0.000000
0.000415	0.000000
0.000421	0.000000
0.000427	0.000000
0.000433	0.000000
0.000439	0.000000
0.000445	0.000000
0.000451	0.000000
0.000458	0.000000
0.000464	0.000000
0.000470	0.000000
0.000477	0.000000
0.000484	0.000000
0.000490	0.000000
0.000497	0.000000
0.000504	0.000000
0.000511	0.000000
0.000518	0.000000
0.000526	0.000000
0.000533	0.000000
0.000540	0.000000
0.000548	0.000000
0.000556	0.000000
0.000563	0.000000
0.000571	0.000000
0.000579	0.000000
0.000587	0.000000
0.000596	0.000000
0.000604	0.000000
0.000612	0.000000
0.000621	0.000000
0.000630	0.000000
0.000638	0.000000
0.000647	0.000000
0.000656	0.000000
0.000665	0.000000
0.000675	0.000000
0.000684	0.000000
0.000694	0.000000
0.000703	0.000000
0.000713	0.000000
0.000723	0.000000
0.000733	0.000002
0.000744	0.000002
0.000754	0.000002
0.000765	0.000002
0.000775	0.000002
0.000786	0.000002
0.000797	0.000002
0.000808	0.000002
0.000819	0.000002
0.000831	0.000002
0.000843	0.000002
0.000854	0.000002
0.000866	0.000002
0.000878	0.000002
0.000891	0.000002
0.000903	0.000002
0.000916	0.000002
0.000928	0.000002
0.000941	0.000002
0.000955	0.000002
0.000968	0.000002
0.000981	0.000013
0.000995	0.000014
0.001009	0.000014
0.001023	0.000014
0.001037	0.000014
0.001052	0.000014
0.001067	0.000016
0.001082	0.000017
0.001097	0.000021
0.001112	0.000021
0.001128	0.000026
0.001143	0.000026
0.001159	0.000026
0.001175	0.000028
0.001192	0.000030
0.001209	0.000033
0.001225	0.000044
0.001243	0.000048
0.001260	0.000050
0.001278	0.000071
0.001295	0.000114
0.001314	0.000119
0.001332	0.000123
0.001350	0.000125
0.001369	0.000126
0.001388	0.000140
0.001408	0.000147
0.001428	0.000151
0.001448	0.000172
0.001468	0.000288
0.001488	0.000301
0.001509	0.000302
0.001530	0.000311
0.001552	0.000315
0.001573	0.000319
0.001595	0.000363
0.001617	0.000389
0.001640	0.000402
0.001663	0.000411
0.001686	0.000417
0.001710	0.000431
0.001734	0.000462
0.001758	0.000467
0.001782	0.000469
0.001807	0.000478
0.001833	0.000535
0.001858	0.000554
0.001884	0.000556
0.001911	0.000572
0.001937	0.000586
0.001964	0.000736
0.001992	0.000767
0.002020	0.000778
0.002048	0.000791
0.002076	0.000850
0.002105	0.000863
0.002135	0.000959
0.002165	0.000999
0.002195	0.001223
0.002226	0.001251
0.002257	0.001268
0.002288	0.001340
0.002320	0.001356
0.002353	0.001377
0.002385	0.001424
0.002419	0.001488
0.002453	0.001663
0.002487	0.001723
0.002522	0.001773
0.002557	0.001959
0.002593	0.002961
0.002629	0.003031
0.002666	0.003194
0.002703	0.003245
0.002741	0.003321
0.002779	0.003375
0.002818	0.003429
0.002857	0.003482
0.002897	0.003665
0.002937	0.004938
0.002979	0.005044
0.003020	0.005139
0.003062	0.005282
0.003105	0.005363
0.003149	0.005437
0.003193	0.005815
0.003237	0.007625
0.003282	0.007998
0.003328	0.008148
0.003375	0.008249
0.003422	0.008538
0.003470	0.008799
0.003518	0.008896
0.003567	0.009243
0.003617	0.009524
0.003668	0.011740
0.003719	0.012154
0.003771	0.012292
0.003824	0.012495
0.003877	0.012809
0.003931	0.016282
0.003986	0.016703
0.004042	0.017197
0.004098	0.017452
0.004156	0.017765
0.004214	0.018860
0.004273	0.019650
0.004332	0.020094
0.004393	0.023978
0.004454	0.024309
0.004517	0.024824
0.004580	0.028420
0.004644	0.028912
0.004708	0.029252
0.004774	0.030902
0.004841	0.031344
0.004909	0.034348
0.004977	0.034819
0.005047	0.035390
0.005117	0.039317
0.005189	0.044010
0.005261	0.044576
0.005335	0.045937
0.005409	0.046494
0.005485	0.049477
0.005562	0.052801
0.005639	0.053802
0.005718	0.054371
0.005798	0.055334
0.005879	0.065673
0.005961	0.066396
0.006045	0.067398
0.006129	0.068782
0.006215	0.075057
0.006301	0.075875
0.006390	0.078065
0.006479	0.084222
0.006569	0.089960
0.006661	0.092061
0.006754	0.092921
0.006849	0.098598
0.006944	0.103099
0.007041	0.104497
0.007140	0.110417
0.007239	0.112420
0.007341	0.119675
0.007443	0.126463
0.007547	0.128032
0.007653	0.133071
0.007760	0.142363
0.007868	0.143918
0.007978	0.146974
0.008089	0.157830
0.008203	0.159712
0.008317	0.161715
0.008433	0.174237
0.008551	0.177725
0.008671	0.179524
0.008792	0.195282
0.008915	0.196922
0.009039	0.200240
0.009166	0.214214
0.009294	0.216551
0.009424	0.224597
0.009555	0.235617
0.009689	0.237562
0.009824	0.252017
0.009961	0.256919
0.010101	0.266515
0.010242	0.275939
0.010385	0.286780
0.010530	0.290204
0.010677	0.306770
0.010826	0.310270
0.010978	0.321367
0.011131	0.332612
0.011287	0.340737
0.011444	0.354272
0.011604	0.358095
0.011766	0.378705
0.011931	0.382399
0.012097	0.401003
0.012266	0.406239
0.012438	0.424850
0.012612	0.437735
0.012788	0.450845
0.012967	0.464160
0.013148	0.477392
0.013332	0.491224
0.013518	0.502545
0.013707	0.516713
0.013898	0.531976
0.014092	0.545226
0.014289	0.567268
0.014489	0.574341
0.014691	0.597672
0.014897	0.614113
0.015105	0.627109
0.015316	0.649164
0.015530	0.667842
0.015747	0.682056
0.015967	0.700100
0.016190	0.723774
0.016416	0.737927
0.016646	0.756079
0.016878	0.781645
0.017114	0.796248
0.017353	0.815802
0.017596	0.843889
0.017842	0.865926
0.018091	0.879152
0.018344	0.905680
0.018600	0.933325
0.018860	0.952588
0.019124	0.981342
0.019391	0.997508
0.019662	1.025499
0.019937	1.047694
0.020215	1.076828
0.020498	1.106523
0.020784	1.135773
0.021075	1.156819
0.021369	1.187482
0.021668	1.217143
0.021970	1.238937
0.022277	1.271388
0.022589	1.300256
0.022904	1.331666
0.023224	1.355694
0.023549	1.388855
0.023878	1.423090
0.024212	1.453916
0.024550	1.487763
0.024893	1.530925
0.025241	1.563469
0.025594	1.597794
0.025951	1.630257
0.026314	1.666097
0.026682	1.700461
0.027054	1.736433
0.027432	1.769893
0.027816	1.816035
0.028204	1.852997
0.028599	1.886885
0.028998	1.924225
0.029403	1.963011
0.029814	2.015314
0.030231	2.052995
0.030653	2.090649
0.031082	2.138970
0.031516	2.177025
0.031956	2.217273
0.032403	2.271642
0.032856	2.312569
0.033315	2.360179
0.033780	2.401321
0.034252	2.448824
0.034731	2.498600
0.035216	2.540683
0.035708	2.597758
0.036207	2.649490
0.036713	2.697107
0.037226	2.749106
0.037746	2.793576
0.038274	2.851819
0.038809	2.906820
0.039351	2.954362
0.039901	3.007633
0.040458	3.066400
0.041024	3.112047
0.041597	3.171164
0.042178	3.230899
0.042768	3.286421
0.043365	3.347254
0.043971	3.410485
0.044586	3.456388
0.045209	3.517906
0.045840	3.578747
