AccPercent	Percent	CategName
0.022580	0.022580	Hair Drier
0.048673	0.026093	Toaster
0.188002	0.139329	Parking Meter
0.339039	0.151037	Bear
0.516168	0.177130	Scissors
0.714875	0.198706	Microwave
0.934991	0.220116	Fire Hydrant
1.164473	0.229482	Stop Sign
1.393956	0.229482	Toothbrush
1.647691	0.253735	Mouse
1.958964	0.311273	Frisbee
2.272077	0.313113	Refrigerator
2.599408	0.327330	Snowboard
2.930418	0.331010	Keyboard
3.264773	0.334355	Hot Dog
3.649808	0.385035	Oven
4.050901	0.401093	Baseball Bat
4.500667	0.449766	Baseball Glove
4.980037	0.479371	Toilet
5.465931	0.485894	Bed
5.980427	0.514496	Sandwich
6.508638	0.528211	Train
7.060433	0.551795	Cat
7.628620	0.568187	Teddy Bear
8.198312	0.569692	Tennis Racket
8.768673	0.570361	Laptop
9.369642	0.600970	Giraffe
9.981484	0.611842	Zebra
10.611557	0.630073	Dog
11.251834	0.640276	Airplane
11.900807	0.648974	Elephant
12.555468	0.654661	Fork
13.213307	0.657839	Sink
13.881348	0.668042	Pizza
14.552066	0.670718	Skateboard
15.226798	0.674732	Tv
15.914744	0.687946	Couch
16.603860	0.689116	Remote
17.295485	0.691625	Surfboard
17.996645	0.701159	Suitcase
18.707672	0.711028	Apple
19.423885	0.716213	Spoon
20.145785	0.721900	Clock
20.868521	0.722736	Bus
21.597947	0.729426	Sports Ball
22.342427	0.744480	Cell Phone
23.089416	0.746989	Tie
23.843597	0.754181	Cake
24.601291	0.757694	Orange
25.370693	0.769402	Vase
26.148792	0.778099	Horse
26.932244	0.783452	Skis
27.744967	0.812723	Donut
28.563543	0.818577	Broccoli
29.385131	0.821587	Bicycle
30.301221	0.916090	Carrot
31.226176	0.924955	Knife
32.156148	0.929973	Wine Glass
33.092477	0.936329	Cow
34.079988	0.987511	Potted Plant
35.078872	0.998884	Motorcycle
36.115056	1.036184	Backpack
37.178670	1.063614	Kite
38.258844	1.080173	Sheep
39.381334	1.122490	Banana
40.508842	1.127508	Bench
41.687533	1.178690	Truck
42.877931	1.190399	Bird
44.125198	1.247267	Boat
45.421975	1.296777	Umbrella
46.888689	1.466714	Handbag
48.414948	1.526259	Traffic Light
50.094754	1.679805	Bowl
51.960219	1.865465	Dining Table
54.378649	2.418431	Cup
57.188806	2.810157	Bottle
60.009500	2.820694	Book
64.501637	4.492136	Chair
69.611971	5.110334	Car
100.000000	30.388029	Person
