AccPercent	Percent	CategName
2.452238	2.452238	Diningtable
5.132592	2.680354	Bicycle
7.869974	2.737382	Train
10.721414	2.851440	Horse
13.572854	2.851440	Tvmonitor
16.452809	2.879954	Motorbike
19.389792	2.936983	Sofa
22.469347	3.079555	Aeroplane
25.919589	3.450242	Bus
29.455375	3.535786	Boat
33.361848	3.906473	Bird
37.610493	4.248646	Dog
41.916168	4.305674	Pottedplant
46.250356	4.334189	Cow
50.641574	4.391218	Cat
55.061306	4.419732	Sheep
60.621614	5.560308	Bottle
66.552609	5.930995	Car
75.192472	8.639863	Chair
100.000000	24.807528	Person
