AccPercent	Percent	CategName
2.042435	2.042435	Sofa
4.179060	2.136625	Cow
6.409875	2.230815	Diningtable
8.665477	2.255602	Bus
10.935951	2.270474	Train
13.454293	2.518342	Horse
15.992465	2.538172	Bicycle
18.555423	2.562959	Motorbike
21.425739	2.870315	Aeroplane
24.390244	2.964505	Tvmonitor
27.369621	2.979377	Boat
30.373785	3.004164	Sheep
33.873686	3.499901	Pottedplant
38.122150	4.248463	Bird
42.563950	4.441801	Cat
47.337894	4.773944	Bottle
52.726552	5.388658	Dog
60.152687	7.426135	Car
68.604997	8.452310	Chair
100.000000	31.395003	Person
